"Store Name","Mid","Tid","Cashier Name","Transaction ID","Transaction Date","Subtotal","Tax","Charge","Discount","Total","Payment Method","Status","Approval","Ref ID","Card Type","Card Bank","Settlement Status","Settlement Date","Member Name","QR Statis Name"
"WAROENK KANGMAS","000001999437179","10736264","Yoga","PQRKQI935WAS011100432","2024-11-01 10:23:34","23000","0","0","0","23000","QRIS","success","073626404648","1427204786","","","settled","2024-11-01 20:48:18","",""
"WAROENK KANGMAS","000001999437179","10736264","Yoga","PCA8QC935WAS011100433","2024-11-01 10:25:49","88000","0","0","0","88000","Cash","success","","","","","unsettled","","",""
"WAROENK KANGMAS","000001999437179","10736264","Yoga","PQREFC935WAS011100434","2024-11-01 11:16:04","30000","0","0","0","30000","QRIS","success","073626404654","1427288543","","","settled","2024-11-01 20:48:18","",""
"WAROENK KANGMAS","000001999437179","10736264","Yoga","PQR5RQ935WAS011100435","2024-11-01 11:18:23","15000","0","0","0","15000","QRIS","success","073626404658","1427292515","","","settled","2024-11-01 20:48:18","",""
"WAROENK KANGMAS","000001999437179","10736264","Yoga","PQR19L935WAS011100436","2024-11-01 11:19:00","18000","0","0","0","18000","QRIS","success","073626404661","1427293659","","","settled","2024-11-01 20:48:18","",""
"WAROENK KANGMAS","000001999437179","10736264","Yoga","PQRLMT935WAS011100437","2024-11-01 11:19:36","15000","0","0","0","15000","QRIS","success","073626404664","1427294696","","","settled","2024-11-01 20:48:18","",""
"WAROENK KANGMAS","000001999437179","10736264","Yoga","PCAJ7B935WAS011100438","2024-11-01 11:20:10","15000","0","0","0","15000","Cash","success","","","","","unsettled","","",""
"WAROENK KANGMAS","000001999437179","10736264","Yoga","PCAE1R935WAS011100439","2024-11-01 11:21:51","32000","0","0","0","32000","Cash","success","","","","","unsettled","","",""
"WAROENK KANGMAS","000001999437179","10736264","Yoga","PCAJL7935WAS011100440","2024-11-01 11:23:15","35000","0","0","0","35000","Cash","success","","","","","unsettled","","",""
"WAROENK KANGMAS","000001999437179","10736264","Yoga","PQRF93935WAS011100441","2024-11-01 11:23:30","15000","0","0","0","15000","QRIS","success","073626404667","1427301734","","","settled","2024-11-01 20:48:18","",""
"WAROENK KANGMAS","000001999437179","10736264","Yoga","PCATLC935WAS011100442","2024-11-01 11:24:44","14000","0","0","0","14000","Cash","success","","","","","unsettled","","",""
"WAROENK KANGMAS","000001999437179","10736264","Yoga","PCARCP935WAS011100443","2024-11-01 11:28:20","30000","0","0","0","30000","Cash","success","","","","","unsettled","","",""
